Timestamp,What is the name of the Café,What is the cafe address?,What area best describes the café?,What best describes the main background colour of the menu?,What best describes the main text colour of the menu?,"Did they have ""Latté"" on their Menu?","Did they have ""Cappuccino"" on their Menu?","Did they have ""Flat White"" on their Menu?","Did they have ""Moccachino"" on their Menu?","Did they have ""Espresso"" on their Menu?","Did they have ""Long Black"" on their Menu?","Did they have ""Short Black"" on their Menu?","Did they have ""Americano"" on their Menu?","Did they have ""Affogato"" on their Menu?","Did they have ""Macchiato"" on their Menu?","Did they have ""Iced Latté"" on their Menu?","Did they have ""Iced Americano"" on their Menu?","Did they have ""Iced Mocha"" on their Menu?","Did they have ""Irish Coffee"" on their Menu?",Was the Latté the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Latté (or just one price) what was it?","If there was a price for a ""Large"" Latté what was it?","If there was a price for a ""Small"" Latté what was it?",Was the Cappuccino the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Cappuccino (or just one price) what was it?","If there was a price for a ""Large"" Cappuccino what was it?","If there was a price for a ""Small"" Cappuccino what was it?",Was the Flat White the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Flat White (or just one price) what was it?","If there was a price for a ""Large"" Flat White what was it?","If there was a price for a ""Small"" Flat White what was it?",Was the Mocaccino the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Mocaccino (or just one price) what was it?","If there was a price for a ""Large"" Mocaccino what was it?","If there was a price for a ""Small"" Mocaccino what was it?",Was the Espresso the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Espresso (or just one price) what was it?","If there was a price for a ""Large"" Espresso what was it?","If there was a price for a ""Small"" Espresso what was it?",Was the Long Black the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Long Black (or just one price) what was it?","If there was a price for a ""Large"" Long Black what was it?","If there was a price for a ""Small"" Long Black what was it?",Was the Short Black the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Short Black (or just one price) what was it?","If there was a price for a ""Large"" Short Black what was it?","If there was a price for a ""Small"" Short Black what was it?",Was the Americano the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Americano (or just one price) what was it?","If there was a price for a ""Large"" Americano what was it?","If there was a price for a ""Small"" Americano what was it?",Was the Affogato the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Affogato (or just one price) what was it?","If there was a price for a ""Large"" Affogato what was it?","If there was a price for a ""Small"" Affogato what was it?",Was the Macchiato the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Macchiato (or just one price) what was it?","If there was a price for a ""Large"" Macchiato what was it?","If there was a price for a ""Small"" Macchiato what was it?",Was the Iced Latté the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Iced Latté (or just one price) what was it?","If there was a price for a ""Large"" Iced Latté what was it?","If there was a price for a ""Small"" Iced Latté what was it?",Was the Iced Americano the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Iced Americano (or just one price) what was it?","If there was a price for a ""Large"" Iced Americano what was it?","If there was a price for a ""Small"" Iced Americano what was it?",Was the Iced Mocha the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Iced Mocha (or just one price) what was it?","If there was a price for a ""Large"" Iced Mocha what was it?","If there was a price for a ""Small"" Iced Mocha what was it?",Was the Irish Coffee the first coffee listed? (1) or the second? (2) or another number? ,"If there was a price for a ""Medium"" Irish Coffee (or just one price) what was it?","If there was a price for a ""Large"" Irish Coffeewhat was it?","If there was a price for a ""Small"" Irish Coffee what was it?"
01/04/2025 13:14:28,Herne Bay Bakery,192 Jervois Rd,Herne Bay,Black,White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,2,,6,5.5,4,,6,5.5,3,,6,5.5,1,,7,6.5,5,,4.8,0.8,6,4.8,,,8,0.8,,,9,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2025 13:24:48,Z Avondale,50-60 Ash Street,Avondale,Orange,White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,5.5,5.9,4.5,2,5.5,5.9,4.5,1,5.5,5.9,4.5,4,5.5,6,5,6,4.5,,,5,4.5,,,7,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2025 13:29:02,Taste Cafe and Bakery,1B Crayford St West,Avondale,Yellow,Black,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,3,5.3,5.8,4.7,2,5.3,5.8,4.7,1,5.3,5.8,4.7,5,5.5,6,4.9,,,,,7,4.6,5,4.2,8,4.2,,,,,,,,,,,,,,,9,7,,,12,7,,,11,7,,,,,,
01/04/2025 13:35:21,Browne St,"50 Rosebank, Avondale",Avondale,Orange,White,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,6,,6,5,7,,6,5,8,,6,5,9,,6,5,1,,6,5,2,,6,5,3,,6,5,4,,6,5,,,,,5,,6,5,11,9,,,10,9,,,12,9,,,,,,
01/04/2025 13:36:26,Superfino OGGB,12 Grafton Rd,UOA Campus,White,Black,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,8,5.3,6.4,,9,5.3,6.4,,7,5.3,6.4,,10,6.1,6.7,,,,,,2,4.7,,,1,4.7,,,3,4.7,,,,,,,4,4.7,,,12,7,,,11,5.7,,,13,7,,,,,,
01/04/2025 13:39:44,Watson Home Bakery,74 Rosebank Avondale,Avondale,Yellow,Black,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,4,,4.8,3.8,3,,4.8,3.8,1,,4.8,3.8,2,,4.8,3.8,,,,,5,,4.8,3.8,6,,4.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2025 13:45:09,Top Well Bakery,2 Elm Street Avondale,Avondale,White,Black,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,2,5,5.5,4.5,3,5,5.5,4.5,1,5,5.5,4.5,4,5.3,5.8,,,,,,5,5,5.5,4.5,6,5,5.5,4.5,,,,,,,,,,,,,11,6,,,8,6,,,10,6.5,,,,,,
01/04/2025 13:49:25,Hollywood Espresso Metro,4 Alfred St,UOA Campus,Blue,White,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,4,6.3,6.8,5.8,5,6.3,6.8,5.8,3,6.3,6.8,5.8,6,6.8,7.3,6.3,1,4.5,,,2,5.5,6,5,,,,,,,,,9,5,,,8,4.3,,,12,7.5,,,11,6.5,,,16,6.5,,,,,,
01/04/2025 13:50:36,Nana Bakery,586 New North Road,Morningside,Black,White,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,No,3,4.5,5.5,,2,4.5,5.5,,1,4.5,5.5,,6,5,6,,,,,,4,4,4.5,,5,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/04/2025 13:56:19,The Mustard Kitchen,5 Morningside Dr,Morningside,White,Black,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,6,5.5,6,5,7,5.5,6,5,8,5.5,6,5,9,5.5,6,5,1,5,5.5,,2,5,5.5,,3,5,5.5,,4,5,5.5,,,,,,5,5,5.5,,11,5.5,6,,10,5.5,6,,,,,,,,,
